,city,Latitude,Longitude,Latitudedir,Longitudedir
0,Exmouth,21.9323°,114.1279°,"S,",E
1,Dampier,20.6624°,116.7105°,"S,",E
2,Port Hedland,20.3124°,118.6094°,"S,",E
3,Broome,17.9618°,122.2370°,"S,",E
4,Derby,17.3093°,123.6402°,"S,",E
5,Wyndham,15.5847°,128.2201°,"S,",E
6,Timber Creek,15.6459°,130.4668°,"S,",E
7,Katherine,14.4520°,132.2699°,"S,",E
8,Darwin,12.4637°,130.8444°,"S,",E
9,Oenoelli,12.3320°,133.0418°,"S,",E
10,Nhulunbuy,12.1835°,136.7861°,"S,",E
11,Borroloola,16.0703°,136.3072°,"S,",E
12,Burketown,17.7422°,139.5479°,"S,",E
13,Weipa,12.6493°,141.8470°,"S,",E
14,Cooktown,15.4758°,145.2471°,"S,",E
15,Cairns,16.9203°,145.7710°,"S,",E
16,Christmas Island,10.4475°,105.6904°,"S,",E
17,Cocos Island,12.1642°,96.8710°,"S,",E
18,Karratha,20.7337°,116.8447°,"S,",E
19,Townsville,19.2590°,146.8169°,"S,",E
20,Carnarvon,24.8838°,113.6571°,"S,",E
21,Gascoyne Junction,25.0497°,115.2098°,"S,",E
22,Newman,23.3575°,119.7303°,"S,",E
23,Telfer,21.7309°,122.1741°,"S,",E
24,Yulara,25.2380°,130.9856°,"S,",E
25,Kulgera,25.8436°,133.2879°,"S,",E
26,Alice Springs,23.6980°,133.8807°,"S,",E
27,Tennant Creek,19.6459°,134.1910°,"S,",E
28,Elliot,17.5528°,133.5405°,"S,",E
29,Mount Isa,20.7264°,139.4930°,"S,",E
30,Birdsville,25.8982°,139.3535°,"S,",E
31,Longreach,23.4403°,144.2506°,"S,",E
32,Charieville,26.4013°,146.2398°,"S,",E
33,Thargomindah,27.9969°,143.8220°,"S,",E
34,Taroom,25.6406°,149.7983°,"S,",E
35,Goondiwindi,28.5424°,150.3013°,"S,",E
36,Mackay,21.1434°,149.1868°,"S,",E
37,Rockhampton,23.3786°,150.5089°,"S,",E
38,Maryborough,25.5385°,152.7034°,"S,",E
39,Brisbane,27.4705°,153.0260°,"S,",E
40,Coffs Harbour,30.2962°,153.1139°,"S,",E
41,Yalgoo,28.3509°,116.7658°,"S,",E
42,Wiluna,26.5943°,120.2274°,"S,",E
43,Warburton,37.7530°,145.6987°,"S,",E
44,Merredin,31.4832°,118.2833°,"S,",E
45,Newdegate,33.0944°,119.0274°,"S,",E
46,Kalgoorlie-Boulder,30.7490°,121.4660°,"S,",E
47,Norseman,32.1978°,121.7789°,"S,",E
48,Amata,26.1509°,131.1467°,"S,",E
49,Dodnadatta,27.5501°,135.4492°,"S,",E
50,Coober Pedy,29.0135°,134.7544°,"S,",E
51,Innamincka,27.7462°,140.7386°,"S,",E
52,Tibooburra,29.2713°,142.0244°,"S,",E
53,Broken Hill,31.9596°,141.4608°,"S,",E
54,Mildura,34.2069°,142.1367°,"S,",E
55,Bourke,30.0888°,145.9378°,"S,",E
56,Ivanhoe,37.7684°,145.0429°,"S,",E
57,Griffith,34.2887°,146.0324°,"S,",E
58,Albury Wodonga,36.1583°,146.8986°,"S,",E
59,Dubbo,32.2444°,148.6144°,"S,",E
60,Tamworth,31.0900°,150.9293°,"S,",E
61,Geraldton,28.7761°,114.6113°,"S,",E
62,Perth,31.9523°,115.8613°,"S,",E
63,Bunbury,33.3270°,115.6409°,"S,",E
64,Margaret River,33.9535°,115.0630°,"S,",E
65,Esperance,33.8614°,121.8913°,"S,",E
66,Eucia,31.6751°,128.8835°,"S,",E
67,Nullarbor,31.0589°,130.4878°,"S,",E
68,Ceduna,32.1260°,133.6763°,"S,",E
69,Port Lincoin,34.7226°,135.8597°,"S,",E
70,Whyalla,33.0346°,137.5756°,"S,",E
71,Leigh Creek,30.5929°,138.4039°,"S,",E
72,Adelalde,34.9285°,138.6007°,"S,",E
73,Renmark,34.1754°,140.7455°,"S,",E
74,Port Macquarie,31.4580°,152.8975°,"S,",E
75,Newcastle,32.9283°,151.7817°,"S,",E
76,Sydney,33.8688°,151.2093°,"S,",E
77,Wollongong,34.4248°,150.8931°,"S,",E
78,Albany,35.0268°,117.8837°,"S,",E
79,Burra,33.6813°,138.9382°,"S,",E
80,Kingscote,35.6533°,137.6380°,"S,",E
81,Kingston SE,36.8311°,139.8538°,"S,",E
82,Mount Gambier,37.8256°,140.7712°,"S,",E
